invoice_number,invoice_date,customer_name,address,postal_code,city,subtotal,total_amount
01/2021/04,2021-01-06,"EISCAFÉ VENEZIA","Paolo Marrocu","","",354.96,430.28
01/2021/11,2021-01-29,"Eiscafe Venezia","Grabenstr. 13","53424","Remagen",60.00,76.30
02/2021/12,2021-02-05,"EIS VENEZIA","MANUFAKTUR","","",562.60,677.37
02/2021/15,2021-02-09,"EIS VENEZIA","MANUFAKTUR","","",1050.00,1249.50
02/2021/17,2021-02-17,"EIS VENEZIA","MANUFAKTUR","","",194.00,230.86
03/2021/21,2021-03-09,"Eiscafe Venezia","Grabenstr. 13","53424","Remagen",169.00,201.11
04/2021/39,2021-04-07,"EIS VENEZIA","MANUFAKTUR","","",175.00,208.25
05/2021/68,2021-05-19,"EISCAFE' VENEZIA","Alte Bielefelder Str. 11, 33824 Werther","","",196.20,241.38
05/2021/72,2021-05-21,"Eiscafe Venezia","Grabenstr. 13","53424","Remagen",562.02,676.73
06/2021/102,2021-06-26,"EIS VENEZIA","MANUFAKTUR","","",1175.60,1398.96
07/2021/111,2021-07-17,"EIS VENEZIA","MANUFAKTUR","","",1723.60,2051.08
08/2021/119,2021-08-10,"Eiscafe Venezia","Grabenstr. 13","53424","Remagen",917.50,1091.83
08/2021/120,2021-08-10,"Eiscafe Venezia","Grabenstr. 13","53424","Remagen",716.85,853.05
08/2021/125,2021-08-23,"EIS VENEZIA","MANUFAKTUR","","",116.40,138.52
09/2021/132,2021-09-28,"Eiscafe Venezia","Grabenstr. 13","53424","Remagen",51.90,61.77
11/2021/135,2021-11-01,"EIS VENEZIA","MANUFAKTUR","","",362.00,430.78
01/2022/06,2022-01-20,"EIS VENEZIA","MANUFAKTUR","","",806.90,960.21
02/2022/19,2022-02-09,"Eiscafe Venezia","Grabenstr. 13","53424","Remagen",830.90,988.77
02/2022/21,2022-02-13,"EIS VENEZIA","MANUFAKTUR","","",104.90,124.83
03/2022/41,2022-03-08,"Eiscafe Venezia","Grabenstr. 13","53424","Remagen",286.30,340.70
04/2022/61,2022-04-04,"Eiscafe Venezia","Grabenstr. 13","53424","Remagen",85.40,101.63
04/2022/80,2022-04-29,"EIS VENEZIA","MANUFAKTUR","","",739.50,880.01
05/2022/82,2022-05-02,"Eiscafe Venezia","Grabenstr. 13","53424","Remagen",175.00,208.25
05/2022/92,2022-05-13,"Eiscafe Venezia","Grabenstr. 13","53424","Remagen",89.90,114.88
07/2022/137,2022-07-25,"EIS VENEZIA","MANUFAKTUR","","",516.00,625.96
08/2022/145,2022-08-10,"EIS VENEZIA","MANUFAKTUR","","",69.00,91.01
08/2022/151,2022-08-27,"CAFFÈ CREME VENEZIA","Reichenstr. 20, 02625 Bautzen","","",323.30,393.62
11/2022/167,2022-11-10,"EIS VENEZIA","MANUFAKTUR","","",150.00,178.50
01/2023/189,2023-01-02,"Eiscafe Venezia (Werther)","Am Markt 30, 33824 Werther","33824","Werther",2589.00,3105.76
01/2023/201,2023-01-26,"Eiscafe Venezia","Grabenstr. 13","53424","Remagen",305.00,371.86
01/2023/205,2023-01-31,"Eiscafe Venezia","Grabenstr. 13","53424","Remagen",232.20,276.32
02/2023/213,2023-02-03,"Eiscafe Venezia (Brakel)","Hanekamp 18, 33034 Brakel","33034","Brakel",292.80,358.24
02/2023/214,2023-02-03,"Eiscafe Venezia (Brakel)","Hanekamp 18, 33034 Brakel","33034","Brakel",302.60,358.24
02/2023/215,2023-02-03,"Eiscafe Venezia (Köln)","Frankfurter Str. 728, 51143 Köln","51143","Köln",257.00,305.20
02/2023/225,2023-02-07,"Eiscafe Venezia (Forst)","Kirschstraßen 2, 76694 Forst","76694","Forst",1248.90,1484.54
02/2023/226,2023-02-08,"Eiscafe Venezia (Remagen)","Grabenstr. 13, 53424 Remagen","53424","Remagen",361.90,442.10
02/2023/227,2023-02-08,"Eiscafe Venezia","Marienplatz 15, 91275 Auerbach","91275","Auerbach",294.90,350.50
02/2023/233,2023-02-10,"Eiscafe Venezia (Marktoberdorf)","Kaufbeurener Str. 1, 87616 Marktoberdorf","87616","Marktoberdorf",1502.90,1783.70
02/2023/235,2023-02-24,"Eiscafe Venezia","Adolfstraße 45, 56112 Lahnstein","56112","Lahnstein",305.90,362.34
03/2023/248,2023-03-07,"Eiscafe Venezia (Marktoberdorf)","Kaufbeurener Str. 1, 87616 Marktoberdorf","87616","Marktoberdorf",268.90,318.30
03/2023/250,2023-03-08,"Eiscafe Venezia (Unbekannt)","Unbekannt","","Unbekannt",301.70,357.33
03/2023/251,2023-03-09,"Eiscafe Venezia","Unterer Markt 6, 91275 Auerbach","91275","Auerbach",350.50,415.40
03/2023/252,2023-03-09,"Eiscafe Venezia (Rodenbach)","Große Gasse 1, 63517 Rodenbach","63517","Rodenbach",1743.90,2072.42
03/2023/254,2023-03-09,"Eiscafe Venezia","Schloßstr. 5-7, 66953 Pirmasens","66953","Pirmasens",231.50,277.84
